plu,item_name,final_price,discount,image,description,composition,warehousename
20096794,Indomaret Jam Pineapple 170G ,10900,16,https://assets.klikindomaret.com/products/20096794/20096794_thumb.jpg?Version.20.01.1.01,Selai yang dibuat dari buah nanas pilihan yang dicampur dengan bahan berkualitas.,Gula; buah nanas; air; pengental pektin; pengatur keasaman asam sitrat; pengemulsi & penstabil nabati; perisa sintetik nanas; pengawet kalium sorbat; pewarna makanan.,Toko Indomaret
20064435,Al Shifa Natural Honey 250G ,55200,15,https://assets.klikindomaret.com/products/20064435/20064435_thumb.jpg?Version.20.01.1.01,Al shifa natural honey,100% madu,Toko Indomaret
20053052,Ceres Choco Spread Choco Hazelnut 200G ,26900,15,https://assets.klikindomaret.com/products/20053052/20053052_thumb.jpg?Version.20.01.1.01,Selai dengan perpaduan cokelat dan kacang hazel terbaik yang terbuat dari bahan pilihan dengan rasa dan kualitas terbaik.,Gula; minyak nabati; bubuk whey; bubuk kakao penuh lemak; kacang hazel; pengemulsi lesitin kedelai; perisa identik alami; vanili.,Toko Indomaret
20069858,Tresno Joyo Madu Kurma Tj 150G ,20000,11,https://assets.klikindomaret.com/products/20069858/20069858_thumb.jpg?Version.20.01.1.01,Kombinasi antara sari kurma dan madu murni,Sari kurma murni; madu murni; royal jelly.,Toko Indomaret
20055265,Tresno Joyo Madu Tj Murni 150G ,20000,11,https://assets.klikindomaret.com/products/20055265/20055265_thumb.jpg?Version.20.01.1.01,Terbuat dari madu terbaik diproses secara steril dan higienis.,Madu TJ muri adalah 100% madu pilihan; diproduksi oleh lebah pagi yang fresh dan dipanen saat madu matang; sehingga kualitas madu selalu terjamin.,Toko Indomaret
20122031,Skippy Jam Chunky Peanut Butter 170G ,24500,10,https://assets.klikindomaret.com/products/20122031/20122031_thumb.jpg?Version.20.01.1.01,Selai kacang dengan rasa yang enak.,N/A,Toko Indomaret
20127326,Nestle Cereal Breakfast Trix Honey Stars 150G ,19900,9,https://assets.klikindomaret.com/products/20127326/20127326_thumb.jpg?Version.20.01.1.01,2 kelezatan sereal dalam 1 mangkok.Sereal dengan gandum utuh.,N/A,Toko Indomaret
20083837,Morin Jam Hazelnut With Cocoa 150G ,25300,7,https://assets.klikindomaret.com/products/20083837/20083837_thumb.jpg?Version.20.01.1.01,Selai cokelat dan kacang hazel dengan rasa yang enak.,N/A,Toko Indomaret
20115438,5 Days Croissant Cheese 60G ,7000,0,https://assets.klikindomaret.com/products/20115438/20115438_thumb.jpg?Version.20.01.1.01,CROISSANT DALAM KEMASAN NO 1 YANG ADA DI INDONESIA,Tepung Terigu; Vla Keju (27;52%) (Mengandung Pengawet Asam Sorbat; Pewarna Alami Titanium Dioksida Cl No 77891. Penguat rasa Mononatrium L-Glutamat; Air; Margarin (mengandung pengawet kalium sorbat; Antioksidan Tokoferot. Pewarna makanan alami Beta Karoten CI No 40800). Gula Icing. Ragi; Susu Bubuk; Sirup Jagung tinggi Fruktosa. Pengemulsi Nabati (mengandung Pemanis Alami Sorbitol. Pewarna makanan Sintetik Kuning FCF CI No 15985). Minyak Goreng (mengandung Antioksidan BHA). Pati Jagung,Toko Indomaret
20125077,5 Days Croissant Pandan Srikaya 60G ,7000,0,https://assets.klikindomaret.com/products/20125077/20125077_thumb.jpg?Version.20.01.1.01,ROTI CROISSANT ISI SELAI RASA PANDAN SRIKAYA.,N/A,Toko Indomaret
20128391,7+ Cereal Bar Cocoa Chia 22G ,7500,0,https://assets.klikindomaret.com/products/20128391/20128391_thumb.jpg?Version.20.01.1.01,Cereal bar yang terbuat dari bahan-bahan pilihan terbaik. Perpaduan rasa dari Rolled oats; Chia Seeds; Brown Flaxseed; Cranberries; Freeze Dried Strawberries; California Raisins; Blueberries.,N/A,Warehouse Jakarta 1
20128392,7+ Cereal Bar Yoghurt Berry 22G ,7500,0,https://assets.klikindomaret.com/products/20128392/20128392_thumb.jpg?Version.20.01.1.01,Cereal bar yang terbuat dari bahan-bahan pilihan terbaik. Perpaduan rasa dari Real Yoghurt; Rolled oats; Chia seeds; Cranberries; Freeze dried strawberries; Blueberries; California Raisins.,N/A,Warehouse Jakarta 1
20052206,Air Mancur Madurasa Murni 150G ,22000,0,https://assets.klikindomaret.com/products/20052206/20052206_thumb.jpg?Version.20.01.1.01,Terbuat dari madu terbaik diproses secara steril dan higienis.,N/A,Toko Indomaret
20073984,Air Mancur Madurasa Original 150G ,15200,0,https://assets.klikindomaret.com/products/20073984/20073984_thumb.jpg?Version.20.01.1.01,Terbuat dari madu terbaik diproses secara steril dan higienis.,Fruktosa; glukosa; madu 2.305%; air demineral; perisa identik alami madu; pewarna karamel III amonia proses; karomoisin CI14720.,Toko Indomaret
20098940,Arnon Roti Kasur 180G ,11000,0,https://assets.klikindomaret.com/products/20098940/20098940_thumb.jpg?Version.20.01.1.01,Roti kasur,Tepung Terigu; Gula; Garam; Telur; Mentega; Ragi Alami; Coklat Butir; Kalsium Propionat,Toko Indomaret
20054691,Arnon Roti Manis 5'S Cream Messes 200G ,16000,0,https://assets.klikindomaret.com/products/20054691/20054691_thumb.jpg?Version.20.01.1.01,roti manis,Terigu; Gula; Garam; Telur; Mentega; Ragi Alami; Coklat Butir; Kalsium Propionat,Toko Indomaret
20099290,Arnon Roti Manis Choco Roll ,7000,0,https://assets.klikindomaret.com/products/20099290/20099290_thumb.jpg?Version.20.01.1.01,Roti lapis,Tepung Terigu; Gula Pasir; Margarine; Minyak Sayur; Ragi; Telur; Kalsium Propionat; Air; Pasta Cokelat.,Toko Indomaret
20057573,Arnon Roti Manis Cream Meises 40G ,4000,0,https://assets.klikindomaret.com/products/20057573/20057573_thumb.jpg?Version.20.01.1.01,roti manis,Terigu; Gula; Garam; Telur; Mentega; Ragi Alami; Coklat Butir; Kalsium Propionat.,Toko Indomaret
10003941,Budy Jam Pindekas 120G ,16400,0,https://assets.klikindomaret.com/products/10003941/10003941_thumb.jpg?Version.20.01.1.01,Selai kacang dari bahan pilihan yang terbaik.,Kacang tanah; gula; lemak nabati; garam; anti oksidan BHT.,Toko Indomaret
20054091,Budy Jam Selai Coklat 150G ,12200,0,https://assets.klikindomaret.com/products/20054091/20054091_thumb.jpg?Version.20.01.1.01,Budy jam selai serbaguna dengan rasa coklat yang enak.,Gula; cokelat bubuk; susu bubuk; lemak nabati; telur; perisa artifasial vanila; pengawet kalium sorbat.,Toko Indomaret
10003942,Budy Jam Strawberry 150G ,9800,0,https://assets.klikindomaret.com/products/10003942/10003942_thumb.jpg?Version.20.01.1.01,Selai strawberry dari bahan pilihan yang terbaik.,Gula; buah stroberi; pengatur keasaman (Asam Sitrat); Glukosa; pengawet (Natrium Benzoat); Pewarna (Ponceau 4R CI 16255),Toko Indomaret
20041422,Ceres Choco Spread Double Hazelnut 350G ,46500,0,https://assets.klikindomaret.com/products/20041422/20041422_thumb.jpg?Version.20.01.1.01,,N/A,Toko Indomaret
10004771,Ceres Choco Spread Duo Milk Hazelnut 350G ,46500,0,https://assets.klikindomaret.com/products/10004771/10004771_thumb.jpg?Version.20.01.1.01,Selai dengan perpaduan cokelat dan kacang hazel terbaik yang terbuat dari bahan pilihan dengan rasa dan kualitas terbaik.,Gula; minyak nabati; susu bubuk skim (5.5%); bubuk whey; bubuk kakao (2.5%); kacang hazel (1%); pengemulsi lesitin kedelai; perisa vanila ektrak; serpihan kacang almond.,Toko Indomaret
10036688,Ceres Hagelslag Rice Choco Classic 200G ,22500,0,https://assets.klikindomaret.com/products/10036688/10036688_thumb.jpg?Version.20.01.1.01,Cokelat meses terbaik yang terbuat dari bahan pilihan dengan rasa dan kualitas terbaik.,Gula; kakao massa (34.8%); lemak kakao; pengemulsi lesitin kedelai; perisa identik alami vanili; pelapis (carnauba wax).,Toko Indomaret
10000128,Ceres Hagelslag Rice Choco Classic 80G ,10000,0,https://assets.klikindomaret.com/products/10000128/10000128_thumb.jpg?Version.20.01.1.01,Cokelat meses terbaik yang terbuat dari bahan pilihan dengan rasa dan kualitas terbaik.,Gula; kakao massa (34.8%); lemak kakao; pengemulsi lesitin kedelai; perisa identik alami vanili; pelapis (carnauba wax).,Toko Indomaret
10000129,Ceres Hagelslag Rice Choco Festive 80G ,10000,0,https://assets.klikindomaret.com/products/10000129/10000129_thumb.jpg?Version.20.01.1.01,Cokelat meses terbaik yang terbuat dari bahan pilihan dengan rasa dan kualitas terbaik.,Gula; kakao massa; lemak kakao; bubuk whey; pengemulsi lesitin kedelai; pelapis (syelak); perisa identik alami (vanili; jeruk); pewarna (tartrazin CI 19148; eritrosin CI45430; biru berlian CI 42090).,Toko Indomaret
20093336,Diabetasol Zero Calorie Sweetener 100X1g ,76600,0,https://assets.klikindomaret.com/products/20093336/20093336_thumb.jpg?Version.20.01.1.01,Diabetasol No Calorie Sweetener merupakan pemanis penganti gula yang diformulasi khusus untuk para pengidap diabetes. Mengandung Suklarosa yang aman dikonsumsi; serta dibuat tanpa kandungan kalori sehingga mempermudah pengaturan kalori sajian.,Laktosa; pemanis buatan sukrolosa; antioksidan natrium askorbat.,Toko Indomaret
20042356,Diabetasol Zero Calorie Sweetener 50'S 50X1g ,42300,0,https://assets.klikindomaret.com/products/20042356/20042356_thumb.jpg?Version.20.01.1.01,Diabetasol No Calorie Sweetener 50G merupakan pemanis penganti gula yang diformulasi khusus untuk para pengidap diabetes. Mengandung Suklarosa yang aman dikonsumsi; serta dibuat tanpa kandungan kalori sehingga mempermudah pengaturan kalori sajian. Tak han,N/A,Toko Indomaret
20081740,Ellenka Fiber Creme 100G ,13800,0,https://assets.klikindomaret.com/products/20081740/20081740_thumb.jpg?Version.20.01.1.01,Idealnya; kita mengonsumsi serat yakni 30 gram/ hari. Namun faktanya; rata-rata konsumsi serat penduduk Indonesia masih kurang; yakni baru sekitar 10;5 gram per hari. Hal ini tentunya akan membuat sistem pencernaan menjadi tidak sehat.,Isomalto-Oligosakarida; Minyak Nabati; Natrium Kaseinat. Penstabil Fosfat; Pengemulsi Nabati; Anti Kempal. Tanpa Pemanis Buatan; Tanpa Pengawet,Toko Indomaret
10036853,Energen Cereal & Susu Instant Vanilla 5X32G ,11000,0,https://assets.klikindomaret.com/products/10036853/10036853_thumb.jpg?Version.20.01.1.01,Minuman serbuk sereal dan susu yang bernutrisi membantu menambah asupan gizi dengan rasa vanilla,Gula; krimer; terigu; susu bubuk; perisa vanilla; jagung; oat; kalsium karbonat; garam; premiks vitamin; telur; ektrak malt.,Toko Indomaret
20126111,Energen Cereal Instant Champion Coklat 4X35G ,9400,0,https://assets.klikindomaret.com/products/20126111/20126111_thumb.jpg?Version.20.01.1.01,Energen Champion; minuman cokelat dengan susu; malt; 8 vitamin; dan telur membantu memenuhi kebutuhan gizi anda sekeluarga.,N/A,Toko Indomaret
20001606,Energen Cereal Instant Kacang Hijau 10X35G ,23200,0,https://assets.klikindomaret.com/products/20001606/20001606_thumb.jpg?Version.20.01.1.01,Minuman serbuk sereal dan susu yang bernutrisi membantu menambah asupan gizi dengan rasa kacang hijau,Gula; Krimer nabati; kacang hijau (14.28%); tepung terigu (8.2%); susu bubuk (7.95%); jagung; oat; kalsium karbonat; garam; pengemulsi nabati (lesitin kedelai); perisa sintetik; premiks vitamin (A;B1;B2;B9;asam folat;B12;D dan E); natrium askorbat (vitamin C); telur bubuk (0.01%); Ekstrak Malt.,Toko Indomaret
20103565,Energen Cereal Instant Kurma 10X30g ,25800,0,https://assets.klikindomaret.com/products/20103565/20103565_thumb.jpg?Version.20.01.1.01,Energen minuman serbuk sereal dan susu bersinergi dengan kurma pilihan membantu menambah asupan gizi anda sekeluarga.,Gula; susu bubuk (28.7%); krimer nabati; tepung terigu (9.59%); jagung; perisa sintetik; oat; pewarna alami karamel kelas I dan II; kalsium. karamel; garam; kurma (0.1%); pengemulsi lestitin kedelai; vitamin A; B1; B2; B6; asam folat; B12; D; dan E; ekstrak malt.,Toko Indomaret
20001605,Energen Sereal & Susu Cokelat 10X34g ,23200,0,https://assets.klikindomaret.com/products/20001605/20001605_thumb.jpg?Version.20.01.1.01,Minuman serbuk sereal dan susu yang bernutrisi membantu menambah asupan gizi dengan rasa coklat,Gula; krimer; terigu; susu bubuk; kakao bubuk; jagung; oat; kalsium karbonat; garam; premiks vitamin; telur; ektrak malt.,Toko Indomaret
10003340,Energen Sereal & Susu Cokelat 5X34g ,11000,0,https://assets.klikindomaret.com/products/10003340/10003340_thumb.jpg?Version.20.01.1.01,Minuman serbuk sereal dan susu yang bernutrisi membantu menambah asupan gizi dengan rasa coklat,Gula; krimer; terigu; susu bubuk; kakao bubuk; jagung; oat; kalsium karbonat; garam; premiks vitamin; telur; ektrak malt.,Toko Indomaret
20001604,Energen Sereal & Susu Vanila 10X32g ,23200,0,https://assets.klikindomaret.com/products/20001604/20001604_thumb.jpg?Version.20.01.1.01,Minuman serbuk sereal dan susu yang bernutrisi membantu menambah asupan gizi dengan rasa vanilla,Gula; krimer; terigu; susu bubuk; perisa vanilla; jagung; oat; kalsium karbonat; garam; premiks vitamin; telur; ektrak malt.,Toko Indomaret
20127831,Fitbar Cheese Fitbar 20G ,5300,0,https://assets.klikindomaret.com/products/20127831/20127831_thumb.jpg?Version.20.01.1.01,Fitbar merupakan camilan sehat yang terbuat dari paduan bahan oat; quinoa dan whole wheat sebagai sumber serat. Camilan ini diolah dengan kandungan yang baik; bebas kolesterol; bebas lemak; dan sangat rendah kalori. Manfaatnya yang besar dapat menjaga kesehatan jantung; menurunkan resiko kanker; menurunkan kolesterol serta menstabilkan gula darah. Dengan mengkonsumsinya setiap hari; tubuh akan sehat dan berat badan akan terjaga dengan seimbang.,N/A,Warehouse Jakarta 1
10004823,Flora Madu Tropis 350Ml ,57700,0,https://assets.klikindomaret.com/products/10004823/10004823_thumb.jpg?Version.20.01.1.01,Madu Flora Tropis dihasilkan dari lebah yang menghisap aneka ragam nektar bunga alami di hutan tropis Indonesia sehingga madu ini memiliki cita rasa yang tidak seragam ( rsasa dan aroma madu bervariasi),N/A,Toko Indomaret
20109716,Goldenfil Spread Choco Crunchy 350g ,33300,0,https://assets.klikindomaret.com/products/20109716/20109716_thumb.jpg?Version.20.01.1.01,Goldenfil Choco Crunchy Chocolate Selai Coklat Crunchy merupakan selai coklat yang memiliki tambahan sensasi renyah; Garing coklat. Dengan Aroma dan Rasa Coklat yang Gurih dan kuat. GOLDENFIL Chocolate Crunchy sangat cocok untuk olesan roti dan lapisan cake.,N/A,Toko Indomaret
20004032,Indomaret Chocolate Meises 90G ,4900,0,https://assets.klikindomaret.com/products/20004032/20004032_thumb.jpg?Version.20.01.1.01,Rasa dan aroma yang nikmat serta butiran coklatnya yang ernyah; cocok untuk roti; kue dan snack pilihan keluarga anda.,Gula; lemak nabati; bubuk coklat; susu bubuk lesitin (kedelai); vanilin.,Toko Indomaret
20112450,Indomaret Coklat Meises 225g ,11200,0,https://assets.klikindomaret.com/products/20112450/20112450_thumb.jpg?Version.20.01.1.01,Rasa dan aroma yang nikmat serta butiran coklatnya yang enak; cocok untuk roti; kue dan snack pilihan keluarga anda.,N/A,Toko Indomaret
20039235,Indomaret Coklat Meises Mix 90G ,4900,0,https://assets.klikindomaret.com/products/20039235/20039235_thumb.jpg?Version.20.01.1.01,Rasa dan aroma yang nikmat serta butiran coklatnya yang enak; cocok untuk roti; kue dan snack pilihan keluarga anda.,Gula; lemak nabati; bubuk coklat; susu bubuk lesitin (kedelai); vanilin.,Toko Indomaret
20096796,Indomaret Spread Chocolate 160G ,17000,0,https://assets.klikindomaret.com/products/20096796/20096796_thumb.jpg?Version.20.01.1.01,Olesan cokelat yang dibuat dari pasta cokelat berkualitas.,Pasta cokelat; susu bubuk; cokelat bubuk; pengemulsi.,Toko Indomaret
10005455,Kellogg's Cereal Corn Flakes Classic 150G ,22800,0,https://assets.klikindomaret.com/products/10005455/10005455_thumb.jpg?Version.20.01.1.01,Kellogs Corn Flakes sereal sarapan jagung yang sehat,Jagung (89%); Gula; Ekstrak Malt; Garam; Premiks Vitamin dan Mineral (Vitamin (A; B1; B2; B3; B6; B9; B12; E dan Mineral Zat Besi),Toko Indomaret
