event_event/id_event,event_event/event,event_event/kategori,event_event/tanggal,event_event/jam,event_event/tempat
4404, MEGA CAREER EXPO 2022 ,Lain-lain,19  - 20 Okt 2022,10:00 - 17:00,SMESCO Exhibition Hall
4403, EXCEED 2022 ,Lain-lain,12 Sep 2022 - 11 Nov 2022,08:00 - 16:00,Online
4402, ACCOUNTING WEEK 2022 ,Lain-lain,01  - 23 Okt 2022,08:00 - 16:00,Online
4400, 6th DENTISTRY SPORT LEAGUE (DSL) FKG UB 2022 ,Lain-lain,03  - 15 Okt 2022,08:00 - 16:00,Online
4399, ILSA Connect 2022 ,Seminar,15  - 15 Okt 2022,12:00 - 14:30,Zoom Meeting
4398, OPEN RECRUITMENT VOLUNTEER GAM 2022 ,Lain-lain,29 Sep 2022 - 06 Okt 2022,08:00 - 16:00,Online
4397, The 69th MarkPlus Goes to Campus ,Seminar,01  - 01 Okt 2022,10:00 - 11:30,ZOOM & Youtube MarkPlus Channel
4396, Pameran Foto Calon Anggota Unsada Photography Club (UPC) Angkatan 24 ,Expo,30 Sep 2022 - 02 Okt 2022,14:00 - 16:00,Colaca Coffee
4395, SEMINAR NASIONAL TL EXPO 2022 ,Seminar,15  - 15 Okt 2022,07:30 - 12:00,Engineering Hall Dekanat Fakultas Teknik Universitas Diponegoro
4394, National Accounting Olympiad ,Lain-lain,07 Agu 2022 - 13 Okt 2022,08:00 - 16:00,Online
4393, GAMAFEST ,Musik,22  - 22 Okt 2022,15:00 - 22:00,Cinere Bellevue Mall
4392, 68th MarkPlus Goes to Campus ,Seminar,24  - 24 Sep 2022,10:00 - 11:30,Zoom Meeting / Live Youtube
4391, AP FESTIVAL 2022 ,Lain-lain,19 Sep 2022 - 05 Okt 2022,08:00 - 16:00,Online
4390, 𝐌𝐀𝐍𝐀𝐆𝐄𝐌𝐄𝐍𝐓 𝐍𝐀𝐓𝐈𝐎𝐍𝐀𝐋 𝐄𝐍𝐓𝐑𝐄𝐏𝐑𝐄𝐍𝐄𝐔𝐑 𝐓𝐀𝐋𝐊 𝟐𝟎𝟐𝟐 ,Seminar,30  - 30 Okt 2022,09:00 - 12:00,Cisco Webex Meetings
4387, VIRTUAL JOB FAIR JOGJA 2022 ,Bursa Kerja,03  - 04 Okt 2022,08:00 - 16:00,Website Cariloker.id
4386, WEBINAR KOMUNIKASI JURNALISTIK: Tantangan Jurnalis Perempuan dalam Mengawal Isu Isu Perempuan ,Pensi,20  - 20 Sep 2022,13:00 - 15:30,"Online & Universitas Bakrie, Kampus Plaza Festival Ruang 1 dan 2."
4385, Pekan Raya Biologi 2022 ,Seminar,17  - 17 Sep 2022,08:00 - 12:00,Zoom Meeting & Teatrikal Lt.1 FST
4384, Innovillage 2022 ,Lain-lain,01 Agu 2022 - 10 Des 2022,08:00 - 16:00,Online
4383, Lomba Poster SBMP 2022 ,Lain-lain,08 Agu 2022 - 13 Nov 2022,08:00 - 16:00,Online
4382, Lomba Esai SBMP 2022 ,Lain-lain,08 Agu 2022 - 13 Nov 2022,08:00 - 16:00,Online
4381, AMSW FK UNAIR 2022 ,Lain-lain,21 Jul 2022 - 27 Nov 2022,08:00 - 16:00,Online
4380, UMKM FEST 2022 ,Lain-lain,24  - 25 Sep 2022,08:00 - 16:00,Aula Masjid At-Taqwa Universitas Pancasila
4379, Creativity Event 2022 ,Lain-lain,20 Agu 2022 - 30 Sep 2022,08:00 - 16:00,Online
4378, CBCC 2022 ,Expo,29 Agu 2022 - 29 Okt 2022,08:00 - 16:00,Online
4377, BRAWIJAYA LAW FAIR XIII 2022: SEMINAR HUKUM NASIONAL ,Seminar,03  - 03 Sep 2022,09:00 - 12:00,Zoom Meeting
4376, The 3rd Sociology and Anthropology National Essay Competition ,Lain-lain,05 Jul 2022 - 02 Okt 2022,08:00 - 16:00,Online
4375, Pekan Raya Budaya 10.0 SOARCOFIES ,Lain-lain,12 Agu 2022 - 28 Sep 2022,08:00 - 16:00,Online
4374, TAX COMPETITION THE 12TH TAX INTERCOLLEGIATE FORUM ,Lain-lain,01 Agu 2022 - 03 Okt 2022,08:00 - 16:00,Online
4372, OLIMPIADE ZOOLOGI NASIONAL (OZON) 2022 ,Lain-lain,14 Agu 2022 - 27 Nov 2022,08:00 - 16:00,UGM
4371, The 64th MarkPlus Goes to Campus ,Seminar,20  - 20 Agu 2022,10:00 - 11:30,Zoom Meeting / Live Youtube
4370, IBM 2022 ,Lain-lain,15 Agu 2022 - 05 Nov 2022,08:00 - 16:00,Online
4369, GELANGGANG EXPO 2022 ,Expo,18  - 20 Agu 2022,15:30 - 21:30,Lapangan Pancasila UGM
4368, ROAD TO ANTHROCREATIVE 2022 ,Lain-lain,15 Agu 2022 - 11 Sep 2022,08:00 - 16:00,Online
4366," The 63rd MarkPlus Goes to Campus “Entrepreneurial Marketing"" ",Seminar,13  - 13 Agu 2022,10:00 - 11:30,Zoom Meeting / Live Youtube
4365, STARMEET ,Lain-lain,08 Agu 2022 - 15 Okt 2022,08:00 - 16:00,Online
4363, Webinar Nasional ,Seminar,14  - 14 Agu 2022,08:30 - 12:00,Zoom Meeting
4361, SPEXPERIENCE II ,Seminar,07  - 07 Agu 2022,10:40 - 12:00,Zoom Meeting
4360," The 62nd MarkPlus Goes to Campus “Entrepreneurial Marketing"" ",Seminar,06  - 06 Agu 2022,10:00 - 11:30,Zoom & Youtube
4359, Lomba Nasional HMJ PAI UIN WALISONGO ,Lain-lain,15 Jul 2022 - 30 Sep 2022,08:00 - 16:00,Online
4358, LAWFERENCE ,Seminar,11  - 11 Agu 2022,09:30 - 12:00,Zoom Meeting / Live Youtube
4356, Brawijaya Entrepreneurship in Advanced Competition (BRAVO) 2022 ,Lain-lain,04 Agu 2022 - 14 Sep 2022,08:00 - 16:00,Universitas Brawijaya
4355," 𝗖𝗼𝗺𝗦𝗲𝗾𝘂𝗲𝗻𝗰𝗲 𝟮𝟬𝟮𝟮, 𝗜𝗻𝘁𝗲𝗿𝗻𝗮𝘁𝗶𝗼𝗻𝗮𝗹 𝗖𝗼𝗺𝗶𝗰 𝗮𝗻𝗱 𝗦𝗲𝗾𝘂𝗲𝗻𝘁𝗶𝗮𝗹 𝗔𝗿𝘁𝘀 𝗙𝗲𝘀𝘁𝗶𝘃𝗮𝗹 ",Lain-lain,19  - 26 Sep 2022,07:00 - 07:00,"Galeri R.J. Katamsi, ISI Yogyakarta"
4354, 𝗮𝗿𝗴𝗨𝗠𝗲𝗻𝘁 𝗗𝗲𝗯𝗮𝘁𝗶𝗻𝗴 𝗖𝗵𝗮𝗺𝗽𝗶𝗼𝗻𝘀𝗵𝗶𝗽 𝟮𝟬𝟮𝟮 ,Lain-lain,05  - 07 Agu 2022,09:00 - 16:00,Online
4353, INDEYOU 2022: INDEPENDENCE BY YOU ,Lain-lain,20 Jul 2022 - 25 Agu 2022,08:00 - 16:00,Online
4351, Mega Career Expo ,Bursa Kerja,20  - 21 Jul 2022,10:00 - 17:00,SMESCO Exhibition Hall
4350, HR Competency Regular Class Batch 38 ,Lain-lain,15  - 17 Jul 2022,08:00 - 16:00,Online
4349, Speedhunt 2022 ,Lain-lain,30 Jul 2022 - 01 Jan 1970,08:00 - 16:00,Online
4348, Biology Event 2022 ,Lain-lain,27  - 28 Agu 2022,08:00 - 16:00,Universitas Hasanuddin
4347, Festival Jurnalistik Nasional ,Lain-lain,01  - 31 Jul 2022,08:00 - 16:00,Online
4346, JOB FAIR SEMARANG 2022 ,Bursa Kerja,23  - 24 Agu 2022,09:00 - 15:00,SEMARANG
4345, WIDYATAMA ESPORT CHAMPIONSHIP 2022 ,Lain-lain,20  - 28 Jul 2022,08:00 - 16:00,Online
4341, DINAMIKA XXIII ,Lain-lain,23 Mei 2022 - 24 Jul 2022,08:00 - 16:00,FMIPA Universitas Lampung
4340, TALKSHOW FOURTYFIVE STATION 2022 ,Seminar,16  - 16 Jul 2022,08:30 - 11:00,UPN Veteran Jakarta
4338, Concept 2022 ,Lain-lain,25 Jun 2022 - 26 Nov 2022,08:00 - 16:00,Online
4337, HR Competency Regular Class Batch 37 ,Lain-lain,01  - 03 Jul 2022,08:00 - 12:00,Zoom & Ruko Safira Garden
4336," The 58th MarkPlus Goes to Campus “Entrepreneurial Marketing"" ",Seminar,25  - 25 Jun 2022,10:00 - 11:30,Zoom Meeting
4333, RY OUT UKAI HMF FK UB 2022 ,Lain-lain,18  - 18 Jun 2022,08:00 - 12:00,Zoom Meeting
4332, LOMBA BUSINESS MODEL CANVAS ,Lain-lain,18 Mei 2022 - 29 Jun 2022,08:00 - 16:00,Online
4331," Webinar ""Personal Branding VS Career"" ",Lain-lain,25  - 25 Jun 2022,14:00 - 15:30,Zoom Meeting
4330, ALSA LC UI for Society 2022 ,Seminar,15  - 15 Jun 2022,13:00 - 15:00,Zoom Meeting
4329, Charity and Cultural Night AMSA-UGM 2022 ,Pensi,25 Jun 2022 - 01 Jul 2022,18:00 - 22:00,Zoom Meeting
4327," The 56th MarkPlus Goes to Campus “Entrepreneurial Marketing"" ",Seminar,11  - 11 Jun 2022,10:00 - 11:30,Zoom Meeting
4324, ACTS (A Collection of Teen Stories) ,Seminar,11  - 11 Jun 2022,09:00 - 13:00,Zoom Meeting
4323," Webinar ""KNOCK OUT""! ",Seminar,04  - 04 Jun 2022,13:00 - 15:00,Zoom Meeting
4322, White Paper Competition Industrial Workshop 2022 ,Lain-lain,23 Mei 2022 - 03 Sep 2022,08:00 - 16:00,Online
4321, Creative seminar C.L.I.C 2022 “Encapsulate Your Personage” ,Seminar,09  - 09 Jun 2022,19:00 - 21:00,Zoom Meeting
4320, Udayana Accounting Days 2022 ,Lain-lain,20 Mei 2022 - 07 Agu 2022,08:00 - 16:00,Online
4319, Podcast HTTS 2022 ,Seminar,31  - 31 Mei 2022,19:00 - 21:00,Youtube
4318," Pasarind Talks ""Pentingnya Customer Retention Untuk Bisnis"" ",Seminar,31  - 31 Mei 2022,15:00 - 16:30,Zoom Meeting
4317," Digital Literacy Talkshow: ""Keeping Up with Digital Transformation, WHY NOT?"" ",Seminar,05  - 05 Jun 2022,13:00 - 15:00,Zoom Meeting
4316, Digital Office Activity Contest ,Lain-lain,04  - 04 Jun 2022,08:00 - 17:00,Online
4315, UBIQUINON 2022 ,Lain-lain,16 Mei 2022 - 29 Okt 2022,08:00 - 16:00,Online
4314," DEVASANA ""ASKARA SANTARA"" 2022 ",Expo,28  - 28 Mei 2022,19:30 - 21:00,Online
4312, Bazar KWU 2022 ,Expo,17  - 20 Mei 2022,09:00 - 15:00,Lapangan Utama UIN Surakarta
4311, IPB Virtual Fair 2022 ,Bursa Kerja,17 Mei 2022 - 19 Jun 2022,08:00 - 16:00,Online
4310, SMK N 1 Sragen Job Fair Virtual 2022 ,Bursa Kerja,24  - 25 Mei 2022,09:00 - 15:30,SMK N 1 Sragen
4309, ANAFARMA NATIONAL POSTER COMPETITION (ANION) ,Lain-lain,16 Mei 2022 - 18 Jun 2022,08:00 - 16:00,Online
4308, WEBINAR NASIONAL ACCER X E-SUMMIT: Green Lifestyle ,Seminar,05  - 05 Jun 2022,09:00 - 16:00,Zoom Meeting
4307, ADKESMA-TALK SERIES II ,Seminar,21  - 21 Mei 2022,08:00 - 16:00,Zoom Meeting
4306, HR Competency Regular Class Batch 34 ,Lain-lain,27  - 29 Mei 2022,08:00 - 16:00,Zoom Meeting
4305, PIALA JUSTICIA ,Lain-lain,27  - 29 Mei 2022,08:00 - 16:00,Online
4304, THE 6TH CREATIVE INDUSTRY ,Lain-lain,18  - 19 Mei 2022,13:00 - 16:30,Zoom Meeting
4303, KOMPETISI PAPER MATEMATIKA TINGKAT NASIONAL 2022 ,Lain-lain,05 Mei 2022 - 16 Sep 2022,08:00 - 16:00,Online
4302, ENJOY 11 iGENERATION 2022 ,Lain-lain,15  - 31 Mei 2022,08:00 - 16:00,Online
4301, Webinar HIMDI 0.1 “Compact Living” ,Seminar,21  - 21 Mei 2022,13:00 - 15:30,Zoom Meeting
4300, FESTIVAL QURANI 2022 ,Lain-lain,25 Apr 2022 - 12 Jun 2022,08:00 - 16:00,Surabaya
4299, SEMINAR NASIONAL APOTEKER UHAMKA XXXVI ,Seminar,29  - 29 Mei 2022,08:00 - 12:00,Online
4298, Digital Experts Talks #10 CfDS UGM ,Lain-lain,18  - 18 Mei 2022,13:00 - 17:00,Grha Sabha Pramana
4297," The 53rd MarkPlus Goes to Campus “Entrepreneurial Marketing"" ",Lain-lain,14  - 14 Mei 2022,10:00 - 11:30,Online
4296," ""Seharusnya / Sepantasnya"" A Showcase from Normatif ",Pensi,14  - 14 Mei 2022,17:30 - 21:00,Salihara Art Center
4295, BUSINESS PLAN COMPETITION - PERMIB ECONOMY PROJECT ,Lain-lain,15  - 21 Mei 2022,10:00 - 17:00,Online
4294, Fresto 2022 ,Expo,12  - 15 Mei 2022,17:00 - 21:00,"Jalan Jawa, Surabaya (Area Depan Gsuites Hotel)"
4292, HR Competency Regular Class 2022 ,Bursa Kerja,13  - 29 Mei 2022,08:00 - 13:00,Zoom
4291, 🗂️ [Online Accounting Competition] 🗂️ “Peran Teknologi di Bidang Akuntansi Guna Kembangkan Potensi Diri” ,Lain-lain,25 Apr 2022 - 28 Mei 2022,08:00 - 13:00,Online
4290, ✨ALETTA ARCADIA 2022 PROUDLY PRESENT ✨ ,Lain-lain,26 Apr 2022 - 01 Mei 2022,08:00 - 00:00,Online
4289, Webinar #PasarindTalks ,Seminar,26  - 26 Apr 2022,15:00 - 16:30,Zoom
4288, [[OPEN RECRUITMENT DELEGASI ULF 2022]] ,Lain-lain,05 Apr 2022 - 15 Mei 2022,08:00 - 13:00,Online
4287, ✨ PEPRO mempersembahkan PERMIB ECONOMY PROJECT “Menuju Indonesia Emas 2024: Empowering Youth Generation” ,Lain-lain,15 Apr 2022 - 22 Mei 2022,08:00 - 16:00,Online
4286, HR Competency Regular Class 2022 ,Bursa Kerja,23  - 30 Apr 2022,08:00 - 21:00,Zoom
4285," The 52nd MarkPlus Goes to Campus “Entrepreneurial Marketing"" ",Seminar,23  - 23 Apr 2022,10:00 - 11:30,ZOOM & Youtube MarketeersTV
4284, 📣HIMATEMIA FT UNILA PROUDLY PRESENT📣    🔥EXCESS 2022🔥 ,Seminar,29  - 29 Mei 2022,08:00 - 12:00,Dekanat A. Fakultas Teknik Universitas Lampung
4283, [HIMATEMIA FT UNILA PROUDLY PRESENT]    📢ISO TRAINING MANAGEMENT SYSTEM📢 ,Lain-lain,27  - 27 Mei 2022,08:00 - 13:00,Offline
4282, ✨️A NEW COMERS' CONCERT✨️  ASCENDIO ,Musik,30  - 30 Apr 2022,19:30 - 21:30,Youtube
4281," 🌏ECO NOT EGO 🌏  ""Lomba Karya Tulis Ilmiah"" ",Lain-lain,26 Apr 2022 - 26 Jun 2022,08:00 - 16:00,Online
4280, HR Competency Regular Class 2022 ,Bursa Kerja,22  - 24 Apr 2022,08:00 - 17:00,Zoom
4279, [OPEN REGIST INDUSTRIAL SPIRIT OF CARING - INSPIRING HMTI UPNVJ 2022] ,Seminar,22  - 22 Apr 2022,14:30 - 17:30,Zoom Meeting
4277," [ IDEA 2022 ] dengan tema “Generasi Muda Islami yang Berakhlak Mulia, Cerdas dan Berkualitas”. ",Lain-lain,23  - 24 Apr 2022,08:23 - 13:00,Zoom Meeting
4276, HR Competency Regular Class 2022 ,Bursa Kerja,10  - 21 Apr 2022,08:00 - 21:00,Zoom Meeting
4275, The 6th IROFONIC 2022 ,Seminar,05  - 05 Jul 2022,08:00 - 13:00,Hybrid (Offline dan Online via Zoom)
4274, HR Competency Regular Class 2022 ,Bursa Kerja,15  - 17 Apr 2022,08:00 - 17:00,Zoom
4272, 🎨 [KOMPETISI UI/UX DESAIN WEB] 🎨  “Impact Your UI/UX Design For The Future” ,Lain-lain,11  - 25 Apr 2022,08:00 - 13:00,Online
4271, [DIVISI LANGUAGE AND LITERATURE HIMHI UNPAS PROUDLY PRESENT INTERNATIONAL MULTI LANGUAGE TOEFL] ,Lain-lain,23  - 24 Apr 2022,08:00 - 13:00,Online
4270, WEBINAR MEMULAI PERSONAL BRANDING DI LINKEDIN ~ YOUR LINKEDIN YOUR FUTURE POWER ,Seminar,08  - 08 Apr 2022,13:00 - 15:00,Zoom
4269, SMART WAY TOEFL HAS ARRIVED! ,Lain-lain,09  - 10 Apr 2022,08:00 - 13:00,Zoom
4268, ✨ SEMINAR NASIONAL SAINS DAN TEKNOLOGI INFORMASI ✨ ,Seminar,10  - 10 Apr 2022,09:00 - 13:00,Zoom
4267," The 51st MarkPlus Goes to Campus “Entrepreneurial Marketing"" ",Seminar,09  - 09 Apr 2022,10:00 - 11:30,ZOOM & Youtube MarketeersTV
4266," SEMINAR NASIONAL "" Mewujudkan Kampus yang Bersih dari Kekerasan Seksual dengan NGOJEK "" ",Seminar,23  - 23 Apr 2022,08:30 - 13:00,Aula Taman Asoka Universitas Hindu Indonesia 
4265, Pekan Milenial Naik Kelas ,Seminar,05  - 07 Apr 2022,09:00 - 12:00,
4264," The 50th MarkPlus Goes to Campus “Entrepreneurial Marketing"" ",Seminar,02  - 02 Apr 2022,10:00 - 11:30,ZOOM & Youtube MarketeersTV
4261, HR Competency Regular Class 2022 ,Bursa Kerja,01  - 16 Apr 2022,08:00 - 21:00,Zoom
4260, Kompetisi Fotografi ,Lain-lain,15 Mar 2022 - 15 Apr 2022,08:00 - 16:00,Online
4259, PASARIND TALK 2022 ,Seminar,31  - 31 Mar 2022,15:00 - 16:30,Zoom
4258, HR Competency Regular Class 2022 ,Bursa Kerja,01  - 10 Apr 2022,08:00 - 17:00,Zoom Meeting
4257, HR Competency Regular Class ,Bursa Kerja,01  - 15 Apr 2022,08:00 - 17:00,Zoom Meeting
4256," Open donasi Abdi Utama 2022 untuk Desa Cupunagara, Kabupaten Subang. ",Donasi,24  - 27 Mar 2022,07:00 - 17:00,Online
4255," The 49th MarkPlus Goes to Campus “Entrepreneurial Marketing"" ",Seminar,26  - 26 Mar 2022,10:00 - 11:30,
4254, CARYA CLASS 2022 ,Lain-lain,01  - 23 Apr 2022,11:00 - 13:40,Zoom Meeting
4253, VIRTUAL JOB FAIR JOGJA 2022 ,Bursa Kerja,18  - 19 Mei 2022,08:00 - 15:00,Website Cariloker.id
4252, HR Competency Regular Class ,Bursa Kerja,01  - 16 Apr 2022,08:00 - 17:00,Zoom Meeting
4251, ✨AMIKOM VIDEO COMPETITION (Tingkat Nasional)✨ ,Lain-lain,06 Mar 2022 - 27 Jun 2022,08:00 - 16:00,Online
4250, HR Competency Regular Class ,Seminar,18  - 20 Mar 2022,08:00 - 17:00,Zoom Meeting
4249, HR Competency Regular Class ,Bursa Kerja,18  - 20 Mar 2022,08:00 - 17:00,Zoom Meeting
4248, Webinar Nasional Artificial Intelligence ,Seminar,31  - 31 Mar 2022,09:00 - 12:00,Zoom Meeting
4247, HR Competency Regular Class ,Bursa Kerja,09  - 09 Apr 2022,08:00 - 17:00,Zoom Meeting
4246," The 48th MarkPlus Goes to Campus “Entrepreneurial Marketing"". ",Seminar,19  - 19 Mar 2022,10:00 - 11:30,ZOOM & Youtube MarketeersTV
4245, HR Competency Regular Class ,Bursa Kerja,18  - 20 Mar 2022,09:00 - 17:00,Zoom Meeting
4244, Kognisi Youth Learning Festival 2022 ,Seminar,12  - 12 Mar 2022,08:00 - 17:00,Virtual Land Kumospace
4243, [KOMPETISI MEMBUAT CAPTION 2022] ,Lain-lain,20  - 25 Mar 2022,08:00 - 10:56,Online
4242, Kognisi Youth Learning Festival 2022 ,Seminar,11  - 13 Mar 2022,09:00 - 17:00,Virtual Land Kumospace
4241, CONVEY DAY 2022 IS COMING YOUR WAY! ,Lain-lain,12  - 12 Mar 2022,19:00 - 21:30,Youtube
4240, [METAFEST 2022: Got in Your Melody Bring in Your Journey] ,Pensi,12  - 12 Mar 2022,19:15 - 21:30,Zoom Meeting & Youtube
4239," The 47th MarkPlus Goes to Campus “Entrepreneurial Marketing"" ",Seminar,12  - 12 Mar 2022,10:00 - 11:30,ZOOM & Youtube MarketeersTV
4238, 🌸HARUMATSURI 16🌸 ,Lain-lain,06  - 08 Mei 2022,08:00 - 13:00,Online & Youtube
4237, ✨FINDER 4TH : MATA AKSA✨ ,Lain-lain,12  - 14 Mar 2022,08:00 - 13:00,Online & Offline
4236, HR Competency Regular Class ,Bursa Kerja,13  - 13 Mar 2022,08:00 - 21:00,Zoom
4235," The 46th MarkPlus Goes to Campus “Entrepreneurial Marketing"" ",Seminar,05  - 05 Mar 2022,10:00 - 11:30,ZOOM & Youtube MarketeersTV
4234, 🔥BIWARA UNSOED PROUDLY PRESENT 🔥 ,Lain-lain,05  - 15 Mar 2022,08:00 - 13:00,Online
4233, [WEBINAR MENTAL HEALTH] ,Seminar,19  - 19 Mar 2022,09:30 - 13:30,Zoom Meeting
4232, HR Competency Regular Class 2022 ,Bursa Kerja,13  - 13 Mar 2022,08:00 - 21:00,Zoom
4231, ✨ DEPARTEMENT PENDIDIKAN KESEHATAN DAN ILMU PERILAKU PROUDLY PRESENTS :📣🎉🎉  SEMINAR NASIONAL (ONLINE) ,Seminar,05  - 05 Mar 2022,08:00 - 13:00,Zoom Meeting
4228, Marketeers Goes to Campus Episode 45 - Special Launch Edition  ,Seminar,26  - 26 Peb 2022,10:00 - 11:30,ZOOM & Youtube MarketeersTV
4227, HR Competency Regular Class ,Bursa Kerja,13 Mar 2022 - 13 Peb 2022,08:00 - 21:00,Zoom Meeting & Offline
4226, National Accounting Competition (NAC) 2022 ,Lain-lain,23 Mar 2022 - 18 Apr 2022,08:00 - 12:00,Online & Offline
4224, Aarde Golven Webinar Series: Jenjang Karir dan Pengembangan Riset Bagi Geoscientist ,Lain-lain,26  - 26 Peb 2022,08:00 - 12:30,Zoom Meeting
4223, Virtual Ireland Education Fair!🎉 ,Seminar,20  - 20 Peb 2022,15:00 - 17:00,Zoom
4221, TALKSHOW ADRENALINE 2022 ,Lain-lain,26  - 26 Peb 2022,08:00 - 12:00,
4220, 📣 PERMISI.TEL-U 2022 PROUDLY PRESENT 📣  🌊 FREE WEBINAR NAVY TEL-U 2022 🌊 ,Seminar,19  - 19 Peb 2022,12:30 - 15:30,VIDEO CONVERECE
4219, NEXT GENERATION BROADCASTAR 2k22 ,Lain-lain,10 Jan 2022 - 20 Mar 2022,08:00 - 13:00,Online
4218, STOP‼️ Sex Talk Out of Prejudice ,Seminar,19  - 19 Peb 2022,09:00 - 13:00,Zoom Meeting
4217, [ The Technological War Finally Begins ] ,Lain-lain,07 Peb 2022 - 28 Apr 2022,08:00 - 12:00,
4216," ‼️𝐅𝐈𝐑𝐒𝐓 𝐍𝐀𝐓𝐈𝐎𝐍𝐀𝐋 𝐁𝐑𝐀𝐍𝐃𝐈𝐍𝐆 𝐂𝐎𝐌𝐏𝐄𝐓𝐈𝐓𝐈𝐎𝐍, 𝐖𝐎𝐑𝐊𝐒𝐇𝐎𝐏, 𝐀𝐍𝐃 𝐍𝐄𝐓𝐖𝐎𝐑𝐊𝐈𝐍𝐆‼️ ",Lain-lain,06  - 06 Mar 2022,08:00 - 12:00,Zoom Meeting & Youtube
4215," ""The Essential Knowledge to Maximize Innovation."" 🎉 ",Lain-lain,19 Mar 2022 - 20 Peb 2022,08:00 - 13:00,Zoom
4214, 🍫🍫 Time to Share Coklat Festival 2022 🍫🍫 ,Seminar,13  - 13 Peb 2022,08:30 - 11:30,Zoom Meeting
4213,   🔖 WEBINAR NASIONAL 🔖      Berpijak pada Motivasi                 Meraih Beasiswa         dan Prestasi ,Seminar,13  - 13 Peb 2022,08:00 - 14:00,Zoom Meeting
4212, 💫CHEMISTRY FAIR BORN FOR NATIONALISM💫 HIMPUNAN MAHASIWA KIMIA FAKULTAS SAINS DAN TEKNOLOGI UNIVERSITAS JAMBI ,Lain-lain,24 Jan 2022 - 13 Mar 2022,08:00 - 13:00,
4211," The 43rd MarkPlus Goes to Campus “Entrepreneurial Marketing"". ",Seminar,12  - 12 Peb 2022,10:00 - 11:30,ZOOM & Youtube MarketeersTV
4210," MANAGEMENT COMPETITION IN BUSINESS CASE 2022 With Theme : “Increasing the Development of Creativity and Innovation As a Strategic Solution in Business through Digital Transformation"" ",Lain-lain,25 Jan 2022 - 25 Peb 2022,08:00 - 14:00,
